code,name,description,category,url,public-database
AF-CBR,Afghanistan Central Business Registry,Website not yet searchable,AF,http://acbr.gov.af/,
AF-MOE,Ministry of Economy,,AF,http://moec.gov.af/en,
AR-CENOC,The National Centre of Community Organisations (CENOC),The National Centre of Community Organisations oversees and manages the accreditation and categorization of Civil Society Organizations in Argentian.,AF,http://www.cenoc.gob.ar/,
AU-ABN,Australian Business Register,,AU,http://abr.business.gov.au/,
AU-ACNC,Australian Charities and Not-for-profits Commission,,AU,http://www.acnc.gov.au/ACNC/,
BD-NAB,Bangladesh NGO Affairs Bureau,,BD,http://114.129.9.31/welcome/ngo_profile,
BE-BCE_KBO,Banque Carrefour des entreprises / Kruispuntbank van ondernemingen,,BE,economie.fgov.be/fr/entreprises/BCE,
BE-GTCF,Au Greffe du Tribunal de Commerce Francophone de Bruxelles,The Registry of the Francophone Brussels Commercial Court,BE,http://www.juridat.be/tribunal_commerce/bruxelles/index.htm,
BW-CIPA,The Companies and Intellectual Property Authority (CIPA),The Companies and Intellectual Property Authority (CIPA) of the Ministry of Trade and Industry in Botswana is mandated to register businesses and protect intellectual property rights through the administration of four pieces of legislation.,BW,http://www.mtinamesearch.gov.bw/search,
CA-CRA_ACR,Canadian Revenue Agency / Agence du revenu du Canada,CRA_ACR is legal requirement for bilingual use,CA,http://www.cra-arc.gc.ca/,
CH-FDJP,"Commercial Registry, Federal Office of Justice, Switzerland",The Swiss Commercial Register is administered by the cantons under the supervision of the Swiss Confederation. All the commercial register entries made by the cantonal register offices are published in the Swiss Official Gazette of Commerce (SOGC) after having been checked and approved by the Federal Commercial Registry Office.,CH,http://www.zefix.ch/,
CN-SAIC,State Administration for Industry and Commerce (SAIC),The database is only available in Chinese language,CN,http://gsxt.saic.gov.cn/,
CO-CCB,Bogota Chamber of Commerce,"The Bogota Chamber of Commerce is a private, non-for-profit organization whose goal is to foster a sustainable Bogota-Region in the long term, by promoting its residents' prosperity, through services which enhance and strengthen the enterprise capabilities present in the region, and which improve the business environment with an impact over public policies.",CO,http://www.ccb.org.co/,
CZ-ICO,Access to Registers of Economic Subjects / Entities (ARES),"Public registers comprising: the Commercial Register, the Federal Register, the Register of Foundations, the Register’s Institute, and the Register of Public Service Companies. Information on companies is searchable in English and is free-of-charge.",CZ,http://wwwinfo.mfcr.cz/ares/ares_es.html.en,
DK-CVR,Danish Central Business Register,The Central Business Register at Virk is available with English headings and categories. It can be used to search for information on all Danish businesses.,DK,https://datacvr.virk.dk/data/,
EE-RIK,Centre of Registers and Information Systems (RIK),You can view the data related to you free-of-charge by logging in with your ID-card.,EE,http://www.rik.ee/en/e-business-register,
EG-MOSS,Ministry of Social Solidarity and Justice,The Ministry of Social Solidarity and Justice is the main registration body for associations and foundations in Egypt.,EG,http://www.moss.gov.eg/misa/ar-eg/,
ES-DIR3,Common Directory of Organizational Units and Offices - DIR3,EXCEL Tables: http://administracionelectronica.gob.es/ctt/resources/Soluciones/238/Area%20descargas/Listado%20Oficinas%20AGE.xlsx?idIniciativa=238&idElemento=2745,ES,http://administracionelectronica.gob.es/ctt/dir3/descargas,
ET-MFA,Ministry of Foreign Affairs,Charities are registered but no openly searchable database yet available.,ET,http://www.mfa.gov.et/,
ET-MOT,Ministry of Trade (MOT),The Ministry of Trade is the official ministry to register a business in Ethiopia.,ET,http://www.mot.gov.et,
FI-PRO,Finnish Patent and Registration office,,FI,http://www.prh.fi/en/index.html,
FR-INSEE,The National Institute of Statistics and Economic Studies / Institute National de la Statistique et des etudes economiques,The National Institute of Statistics and Economic Studies provide a registration service for companies and associations with details being held on the SIRENE database,FR,http://www.insee.fr/fr/service/default.asp?page=entreprises/entreprise.htm,
FR-RCS,Registre de Commerce et des Societies /Trade and Companies Register - Commercial Court Registry,,FR,http://www.infogreffe.fr,
GB-CHC,Charity Commission,,GB,http://www.charity-commission.gov.uk/,
GB-COH,Companies House,,GB,http://www.companieshouse.gov.uk/,
GB-EDU,"Edubase, by the Department of Education","Edubase is provided by the Department of Education and provides a URN for each school, university and other educational establishment in England and Wales",GB,http://www.education.gov.uk/edubase/home.xhtml,
GB-GOR,UK Government Organisation Register,The Government Organisation Register is an authoritative source of government organisations who have a presence on GOV.UK. This register includes ministerial departments and executive agencies but does not include classifications (e.g. arms length bodies) or any form of organisational hierarchy.,GB,http://government-organisation.alpha.openregister.org,
GB-GOV,UK Government Departments Reference Numbers,Codes for use by IATI for UK Government Departments.,GB,http://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies,
GB-GOVUK,"UK Government Departments, Agencies & Public Bodies","Use the final segment of the url (below /organisations) as the ""registration number"", converting all ""-"" to ""_"". Keep ""registration number"" portion all lowercase.",GB,https://www.gov.uk/government/organisations,
GB-NIC,The Charity Commission for Northern Ireland,,GB,http://www.charitycommissionni.org.uk/,
GB-REV,HM Revenue and Customs,,GB,http://www.hmrc.gov.uk/,
GB-SC,Scottish Charity Register,,GB,http://www.oscr.org.uk/,
GB-UKPRN,UK Register of Learning Providers,,GB,https://www.ukrlp.co.uk/,
GG-RCE,The Guernsey Registry at the Department of Commerce and Employment,,GG,http://www.guernseyregistry.com/charities,
GH-DSW,Department of Social Welfare,,GH,,
HK-CR,Hong Kong Companies Registry,"Hong Kong Companies Registry registers local and non-Hong Kong companies and statutory returns, de-registers defunct solvent companies and provides the public with services and facilities for inspecting and obtaining company information kept by the Registry.",HK,http://www.cr.gov.hk/en/home,
ID-KDN,Ministry Home affairs/ Kementerian Dalam Negeri,NGO registration can also be done through Ministry Home affairs/ Kementerian Dalam Negeri,ID,http://www.kemendagri.go.id/media/filemanager/2011/02/22/d/a/daf.ormas___lsm_2010.pdf,
ID-KHH,Ministry of Justice & Human Rights/ Kementerian Hukum Dan Hak,Company registration is done through Ministry of Justice & Human Rights/ Kementerian Hukum Dan Hak,ID,http://www.kemenkumham.go.id/,
ID-KLN,Ministry of Foreign affairs/ Kementerian Luar Negeri,International NGO registration is done through Ministry of Foreign affairs/ Kementerian Luar Negeri,ID,http://www.kemlu.go.id/,
ID-PRO,NGOs registered at Provinicial Level,"Registration for NGO in Indonesia can be done at the provincial level. Because there is regional autonomy, each provincial has different requirements. Website is just one example",ID,http://www.satulayanan.net/layanan/pendaftaran-lsm-atau-ormas/perizinan-lsm-atau-ormas-baru,
IE-CHY,Irish Register of Charities,,IE,,
IE-CRO,Irish CompaniesRegistration Office,,IE,http://www.cro.ie/,
IM-CR,Isle of Man Companies Registry,,IM,http://www.gov.im/ded/companies/companiesregistry.xml?menuid=21615,
IM-GR,Isle of Man Index of Registered Charities,,IM,http://www.gov.im/registries/courts/charities/,
IN-MCA,"Government of India, Minstry of Corporate Affairs","MCA regulates corporate affairs in India through the Companies Act, 1956, 2013 and other allied Acts, Bills and Rules.",IN,http://www.mca.gov.in/,
IN-MHA,"Ministry of Home Affairs, Government of India",Government of India Ministry of Home Affairs Foreigners Division provides registration under the Foreign Contribution (Regulation) Act (FCRA).,IN,https://fcraonline.nic.in/home/index.aspx,
JE-CR,Jersey Companies Registry,,JE,http://www.jerseyfsc.org/registry/,
JE-OAC,Jersey Overseas Aid Commission,,JE,http://www.jerseyoverseasaid.org.je/,
KE-NCB,NGO's Coordination Board,,KE,http://www.ngobureau.or.ke/,
KE-RCO,Registar of Companies,,KE,http://www.attorney-general.go.ke/,
KE-RSO,Registrar of Societies,,KE,http://www.attorney-general.go.ke/,
LB-MOI,Ministry of Interior,The Ministry of Interior is the main registration body in Lebanon. All NGOs are required to register with the Ministry of Interior.,LB,http://www.interior.gov.lb/,
LS-LCN,Lesotho Council of Non Governmental Organisations,,LS,http://www.lcn.org.ls/,
LV-RE,Register of Enterprises of the Republic of Latvia,Free of charge information includes type of legal entity; registered office; new or current name or trade name and previously registered or historical name or trade name; registration number; Single Euro Payment Area beneficiary identification code (if allocated); registration date; date of deletion of the legal entity from the register (or the date of reorganisation if the reason for the deletion is a reorganisation); deadline for registration of religious organisations that are subject to re-registration.,LV,http://www.ur.gov.lv/,
ML-CCIM,Chambre de Commerce et d'Industrie du Mali (CCIM),"The Chamber of Commerce and Industry of Mali (CCIM) is responsible for the organization and professional representation of organisations and legal persons working in the various branches of commercial, industrial and service activities in Mali.",ML,http://www.cci.ml/,
ML-NIF,Numero d’Identification Fiscale,Malian organisations use Numero-d-Identification-Fiscale (NIF) to identify taxpayers and facilitate the administration of the Malian tax affairs.,ML,http://demarchesadministratives.gouv.ml/demarches/afficher/Numero-d-Identification-Fiscale-NIF,
MM-MHA,Ministry of Home Affairs - Central Committee for the Registration and Supervision of Organisations,"The MHA assigns a registration number to each NGO - this number is time limited, for example 4 years, after which the registration is reviewed.",MM,No url for the ministry (as at 2/10/2013),
MW-CNM,The Council for Non Governmental Organisations in Malawi,,MW,http://www.congoma.mw/index.html,
MW-MRA,Malawi Revenue Authority,,MW,http://www.mra.mw/,
MW-NBM,NGO Board of Malawi,"There is a pdf file with a list of registered NGOs, but these do not appear to be registration numbers. New database is planned",MW,http://ngoboardmalawi.mw/directory.php,
MW-RG,"Registrar General, Department of Justice",,MW,,
MZ-MOJ,Mozambique Ministry of Justice,,MZ,,
NG-CAC,Nigerian Corporate Affairs Commission,,NG,http://new.cac.gov.ng/home/,
NL-KVK,Kamer van Koophandel,,NL,http://www.kvk.nl/,
NO-BRC,Brønnøysundregistrene,,NO,http://www.brreg.no/,
NP-CRO,Company Registrar Office,,NP,http://www.cro.gov.np/,
NP-SWC,NGO registration,,NP,http://www.swc.org.np/,
PH-SEC,Securities and Exchange Commission Philippines,"The Securities and Exchange Commission in the Philippines provides licenses so that corporations, partnerships or associations can transact business in the Philippines.",PH,http://www.sec.gov.ph/online-services/search-registered-companies/,
PK-PCP,Pakistan Centre for Philanthropy,"The PCP Certification Programme seeks to bring transparency, accountability and good governance in the nonprofit sector in Pakistan. The first initiative of its kind in South Asia; it involves the evaluation of a nonprofit organisation on standardised parameters of internal governance, financial management and programme delivery.",PK,https://drive.google.com/file/d/0B67B7u-xqLazZFhHTkUtUVVRWXc/view,
PK-VSWA,Pakistan Voluntary Social Welfare Agency,All NGOs are required to register with their local Voluntary Social Welfare department,PK,No Website available,
PL-REGON,National Official Business Register,"Every business entry in Poland is assigned an ID in 3 different registries: business, court, and tax. This is the business register.",PL,"http://www.stat.gov.pl/regon/, http://bip.stat.gov.pl/en/regon/",
PL-NIP,Tax Identification Number,"Every business entry in Poland is assigned an ID in 3 different registries: business, court, and tax. This is the tax register.",PL,"https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu, https://wyszukiwarkaregon.stat.gov.pl/appBIR/index.aspx",
PL-KRS,The National Court Register,"Every business entry in Poland is assigned an ID in 3 different registries: business, court, and tax. This is the court register.",PL,https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu,
PS-MOI,Ministry of Interior (MOI),It’s the official body to register Non-governmental organization in Palestine.,PS,http://www.moi.pna.ps/NGOs/List,
RS-APR,Serbian Business Registrations Agency (APR),"The SBRA runs business registers as single, centralized, public electronic databases.",RS,http://www.apr.gov.rs/eng/Home.aspx,
SE-BLV,Bolagsverket / Swedish Companies Registration Office,,SE,http://www.bolagsverket.se/,
SE-KK,"Legal, Financial and Administrative Services Agency (Kammarkollegiet)","A Swedish administrative authority under the Ministry of Finance, which is responsible for the registration of religious communities and organisational units of religious communities.",SE,http://www.kammarkollegiet.se/en,
SG-ACRA,Accounting and Corporate Regulatory Authority (ACRA),"The Accounting and Corporate Regulatory Authority (ACRA) is the national regulator of business entities, public accountants and corporate service providers in Singapore",SG,http://www.acra.gov.sg/,
SK-ZRSR,Slovakia Ministry Of Interior Trade Register,Most organisations (including NGOs) have to be registered with the Ministry of Interior for the Trade Register Of The Slovak Republic (Živnostensky Register Slovenskej Republiky) and are allocated a unique registration number,SK,http://www.zrsr.sk/default.aspx?LANG=en,
SS-RRC,South Sudan Relief and Rehabilitation Commission,The South Sudan Relief and Rehabilitation Commission (SSRRC) is an agency of the Government of South Sudan. It is the operational arm of the Ministry of Humanitarian Affairs and Disaster Management. The NGO Act 2016 added additional powers to the agency to register any NGO interested in operating in South Sudan.,SS,http://www.goss-online.org/,
TZ-BRLA,Tanzania Business Registrations and Licensing Agency,,TZ,http://www.brela.go.tz/,
UA-EDR,"United State Register, Ukraine",,UA,http://irc.gov.ua/ua/Poshuk-v-YeDR.html,
UG-NGB,"NGO Board, Ministry of Internal Affairs",,UG,http://www.mia.go.ug/?page_id=62,
UG-RSB,Registration Services Bureau,,UG,http://www.ursb.go.ug/,
US-DOS,Corporation registration is the responsibility of each state (see link),,US,http://www.companieshouse.gov.uk/links/usaLink.shtml,
US-EIN,Internal Revenue Service / Employer Identification Number,,US,"http://www.irs.gov/businesses/small/article/0,,id=98350,00.html",
US-USAGOV,Index of U.S. Government Departments and Agencies,"Use the final segment of the url (below /federal and excluding the extension) as the ""registration number"", converting all ""-"" to ""_"". Keep ""registration number"" portion all lowercase.",US,http://www.usa.gov/directory/federal/index.shtml,
XI-IATI,International Aid Transparency Initiative Organisation Identifier,XI-IATI is a list of organisation identifiers that is maintained by the IATI Secretariat. Any publisher may apply to the IATI Technical Team for an identifier to be generated.,XI,http://iatistandard.org/codelists/IATIOrganisationIdentifier/,
XI-PB,Public Bodies,Public Bodies aims to provide a unique ID for every part of every government.,XI,http://publicbodies.org/,
XM-DAC,OECD Development Assistance Committee,"See Donor, Agency, and Delivery Channel codes",XM,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,
XM-OCHA,United Nations Office for the Coordination of Humanitarian Affairs,OCHA is the part of the United Nations Secretariat responsible for bringing together humanitarian actors to ensure a coherent response to emergencies.,XM,http://www.unocha.org,
ZA-CIP,Companies and Intellectual Property Commission (CIPC),,ZA,http://www.cipro.gov.za/,
ZA-NPO,Association for Non-Profit Organisations,,ZA,http://www.npo.gov.za/,
ZA-PBO,SA Revenue Service Tax Exemption Unit / Public Benefit Organisations,,ZA,http://www.sars.gov.za/home.asp?pid=170,
ZM-NRB,Non Governmental Organisation Registration Board,,ZM,,
ZM-PCR,Patents and Companies Registration Agency,,ZM,http://www.pacra.org.zm/,
ZW-PVO,Private Voluntary Organisations Council,,ZW,,
ZW-ROD,Registrar of Deeds,,ZW,,
